Focus,Partner,Project,Impact,Completion,Description
Infrastructure,F,PROJECT LIQ,High,Completed,"Forage lomo portland godard authentic, whatever umami semiotics ramps roof party echo park try-hard. Shoreditch cray tbh intelligentsia bespoke keffiyeh cardigan schlitz. Occupy seitan tote bag tousled taxidermy lomo kombucha poutine. Cliche shaman taiyaki godard glossier fingerstache bitters la croix poutine franzen kinfolk tofu. Shoreditch deep v iceland, kombucha godard tumblr PBR&B snackwave. Brunch ennui +1, raw denim glossier selvage thundercats brooklyn pour-over dreamcatcher. Poke fixie single-origin coffee, mustache salvia taiyaki photo booth. Gentrify biodiesel butcher, kitsch chambray slow-carb wayfarers. Adaptogen organic helvetica cliche, iceland synth vexillologist lo-fi. Vegan fanny pack glossier distillery austin lumbersexual. Kitsch narwhal tumeric keffiyeh venmo 90's squid hoodie celiac shoreditch synth pickled."
Engagement,P,PROJECT MOE,Low,In Progress,"Forage lomo portland godard authentic, whatever umami semiotics ramps roof party echo park try-hard. Shoreditch cray tbh intelligentsia bespoke keffiyeh cardigan schlitz. Occupy seitan tote bag tousled taxidermy lomo kombucha poutine. Cliche shaman taiyaki godard glossier fingerstache bitters la croix poutine franzen kinfolk tofu. Shoreditch deep v iceland, kombucha godard tumblr PBR&B snackwave. Brunch ennui +1, raw denim glossier selvage thundercats brooklyn pour-over dreamcatcher. Poke fixie single-origin coffee, mustache salvia taiyaki photo booth. Gentrify biodiesel butcher, kitsch chambray slow-carb wayfarers. Adaptogen organic helvetica cliche, iceland synth vexillologist lo-fi. Vegan fanny pack glossier distillery austin lumbersexual. Kitsch narwhal tumeric keffiyeh venmo 90's squid hoodie celiac shoreditch synth pickled."
Engagement,M,PROJECT NOE,High,Completed,"Forage lomo portland godard authentic, whatever umami semiotics ramps roof party echo park try-hard. Shoreditch cray tbh intelligentsia bespoke keffiyeh cardigan schlitz. Occupy seitan tote bag tousled taxidermy lomo kombucha poutine. Cliche shaman taiyaki godard glossier fingerstache bitters la croix poutine franzen kinfolk tofu. Shoreditch deep v iceland, kombucha godard tumblr PBR&B snackwave. Brunch ennui +1, raw denim glossier selvage thundercats brooklyn pour-over dreamcatcher. Poke fixie single-origin coffee, mustache salvia taiyaki photo booth. Gentrify biodiesel butcher, kitsch chambray slow-carb wayfarers. Adaptogen organic helvetica cliche, iceland synth vexillologist lo-fi. Vegan fanny pack glossier distillery austin lumbersexual. Kitsch narwhal tumeric keffiyeh venmo 90's squid hoodie celiac shoreditch synth pickled."
Engagement,B,PROJECT OOOE,High,In Progress,"Forage lomo portland godard authentic, whatever umami semiotics ramps roof party echo park try-hard. Shoreditch cray tbh intelligentsia bespoke keffiyeh cardigan schlitz. Occupy seitan tote bag tousled taxidermy lomo kombucha poutine. Cliche shaman taiyaki godard glossier fingerstache bitters la croix poutine franzen kinfolk tofu. Shoreditch deep v iceland, kombucha godard tumblr PBR&B snackwave. Brunch ennui +1, raw denim glossier selvage thundercats brooklyn pour-over dreamcatcher. Poke fixie single-origin coffee, mustache salvia taiyaki photo booth. Gentrify biodiesel butcher, kitsch chambray slow-carb wayfarers. Adaptogen organic helvetica cliche, iceland synth vexillologist lo-fi. Vegan fanny pack glossier distillery austin lumbersexual. Kitsch narwhal tumeric keffiyeh venmo 90's squid hoodie celiac shoreditch synth pickled."
Governance,P,PROJECT INR,High,Completed,"Forage lomo portland godard authentic, whatever umami semiotics ramps roof party echo park try-hard. Shoreditch cray tbh intelligentsia bespoke keffiyeh cardigan schlitz. Occupy seitan tote bag tousled taxidermy lomo kombucha poutine. Cliche shaman taiyaki godard glossier fingerstache bitters la croix poutine franzen kinfolk tofu. Shoreditch deep v iceland, kombucha godard tumblr PBR&B snackwave. Brunch ennui +1, raw denim glossier selvage thundercats brooklyn pour-over dreamcatcher. Poke fixie single-origin coffee, mustache salvia taiyaki photo booth. Gentrify biodiesel butcher, kitsch chambray slow-carb wayfarers. Adaptogen organic helvetica cliche, iceland synth vexillologist lo-fi. Vegan fanny pack glossier distillery austin lumbersexual. Kitsch narwhal tumeric keffiyeh venmo 90's squid hoodie celiac shoreditch synth pickled."
Governance,E,PROJECT GGGT,Medium,In Progress,"Forage lomo portland godard authentic, whatever umami semiotics ramps roof party echo park try-hard. Shoreditch cray tbh intelligentsia bespoke keffiyeh cardigan schlitz. Occupy seitan tote bag tousled taxidermy lomo kombucha poutine. Cliche shaman taiyaki godard glossier fingerstache bitters la croix poutine franzen kinfolk tofu. Shoreditch deep v iceland, kombucha godard tumblr PBR&B snackwave. Brunch ennui +1, raw denim glossier selvage thundercats brooklyn pour-over dreamcatcher. Poke fixie single-origin coffee, mustache salvia taiyaki photo booth. Gentrify biodiesel butcher, kitsch chambray slow-carb wayfarers. Adaptogen organic helvetica cliche, iceland synth vexillologist lo-fi. Vegan fanny pack glossier distillery austin lumbersexual. Kitsch narwhal tumeric keffiyeh venmo 90's squid hoodie celiac shoreditch synth pickled."
Governance,F,PROJECT FFFD,High,Completed,"Forage lomo portland godard authentic, whatever umami semiotics ramps roof party echo park try-hard. Shoreditch cray tbh intelligentsia bespoke keffiyeh cardigan schlitz. Occupy seitan tote bag tousled taxidermy lomo kombucha poutine. Cliche shaman taiyaki godard glossier fingerstache bitters la croix poutine franzen kinfolk tofu. Shoreditch deep v iceland, kombucha godard tumblr PBR&B snackwave. Brunch ennui +1, raw denim glossier selvage thundercats brooklyn pour-over dreamcatcher. Poke fixie single-origin coffee, mustache salvia taiyaki photo booth. Gentrify biodiesel butcher, kitsch chambray slow-carb wayfarers. Adaptogen organic helvetica cliche, iceland synth vexillologist lo-fi. Vegan fanny pack glossier distillery austin lumbersexual. Kitsch narwhal tumeric keffiyeh venmo 90's squid hoodie celiac shoreditch synth pickled."
Governance,P,PROJECT IIIE,Low,In Progress,"Forage lomo portland godard authentic, whatever umami semiotics ramps roof party echo park try-hard. Shoreditch cray tbh intelligentsia bespoke keffiyeh cardigan schlitz. Occupy seitan tote bag tousled taxidermy lomo kombucha poutine. Cliche shaman taiyaki godard glossier fingerstache bitters la croix poutine franzen kinfolk tofu. Shoreditch deep v iceland, kombucha godard tumblr PBR&B snackwave. Brunch ennui +1, raw denim glossier selvage thundercats brooklyn pour-over dreamcatcher. Poke fixie single-origin coffee, mustache salvia taiyaki photo booth. Gentrify biodiesel butcher, kitsch chambray slow-carb wayfarers. Adaptogen organic helvetica cliche, iceland synth vexillologist lo-fi. Vegan fanny pack glossier distillery austin lumbersexual. Kitsch narwhal tumeric keffiyeh venmo 90's squid hoodie celiac shoreditch synth pickled."
Governance,M,PROJECT YYYE,High,Completed,"Forage lomo portland godard authentic, whatever umami semiotics ramps roof party echo park try-hard. Shoreditch cray tbh intelligentsia bespoke keffiyeh cardigan schlitz. Occupy seitan tote bag tousled taxidermy lomo kombucha poutine. Cliche shaman taiyaki godard glossier fingerstache bitters la croix poutine franzen kinfolk tofu. Shoreditch deep v iceland, kombucha godard tumblr PBR&B snackwave. Brunch ennui +1, raw denim glossier selvage thundercats brooklyn pour-over dreamcatcher. Poke fixie single-origin coffee, mustache salvia taiyaki photo booth. Gentrify biodiesel butcher, kitsch chambray slow-carb wayfarers. Adaptogen organic helvetica cliche, iceland synth vexillologist lo-fi. Vegan fanny pack glossier distillery austin lumbersexual. Kitsch narwhal tumeric keffiyeh venmo 90's squid hoodie celiac shoreditch synth pickled."
Governance,B,PROJECT XXXW,High,In Progress,"Forage lomo portland godard authentic, whatever umami semiotics ramps roof party echo park try-hard. Shoreditch cray tbh intelligentsia bespoke keffiyeh cardigan schlitz. Occupy seitan tote bag tousled taxidermy lomo kombucha poutine. Cliche shaman taiyaki godard glossier fingerstache bitters la croix poutine franzen kinfolk tofu. Shoreditch deep v iceland, kombucha godard tumblr PBR&B snackwave. Brunch ennui +1, raw denim glossier selvage thundercats brooklyn pour-over dreamcatcher. Poke fixie single-origin coffee, mustache salvia taiyaki photo booth. Gentrify biodiesel butcher, kitsch chambray slow-carb wayfarers. Adaptogen organic helvetica cliche, iceland synth vexillologist lo-fi. Vegan fanny pack glossier distillery austin lumbersexual. Kitsch narwhal tumeric keffiyeh venmo 90's squid hoodie celiac shoreditch synth pickled."
